bidding_zone,Country,Biomass,Fossil Brown coal/Lignite,Gas,Fossil Hard coal,Oil,Fossil Peat,Geothermal,Nuclear,Other,Waste,Other renewable,Hydro Water Reservoir,Marine,Hydro Run-of-river and poundage,Wind Onshore,Wind Offshore,Solar
AT,Austria,497,0,4449,0,164,0,1,0,957,103,0,2430,0,5941,3422,,2763
BE,Belgium,672,0,7282,0,275,0,0,5943,19,362,0,0,0,176,2687,2262,5934
BG,Bulgaria,75,4119,1266,356,0,0,0,2000,0,6,0,1810,0,539,704,,1275
HR,Croatia,108,0,743,217,344,0,10,0,0,6,54,1445,0,427,987,,138
CZ,Czechia,410,7700,1606,1200,0,0,0,4040,0,100,410,753,0,338,339,,2177
DK1,DK1,691,0,1018,1943,196,0,0,0,0,211,113,0,0,7,3888,1277,1205
DK2,DK2,1179,0,603,1222,801,0,0,0,0,173,24,0,0,0,756,1028,499
EE,Estonia,175,0,172,0,1462,0,0,0,0,17,10,0,0,8,316,,395
FI,Finland,1860,0,1849,1682,1089,1135,0,2794,436,163,273,0,0,3153,3225,32,398
FR,France,1579,0,12218,2977,2746,0,0,61370,1120,0,0,6655,246,9554,18537,14,13073
DE-LU,Germany-Luxembourg,8400,20487,31942,23499,4184,0,44,8114,1639,1640,420,1298,0,3814,55904,7807,57461
GR,Greece,95,2561,4902,0,0,0,0,0,1440,0,106,2403,0,312,4649,,4073
HU,Hungary,213,1007,4011,42,420,0,3,1910,0,49,69,28,0,30,324,,2968
IE,Ireland,0,0,4265,855,1272,344,17,0,647,0,0,0,0,216,4314,25,112
IT-CN,IT-Centre-North,184,0,2523,0,16,0,766,0,48,0,0,131,0,301,163,,2058
IT-CS,IT-Centre-South,271,0,6379,1845,96,0,0,0,213,0,0,89,0,1302,720,,2964
IT-N,IT-North,2402,0,27135,1450,40,0,0,0,349,50,0,2119,0,6852,163,,10170
IT-Sar,IT-Sardinia,104,0,909,966,251,0,0,0,42,0,0,72,0,100,1089,,1001
IT-Sic,IT-Sicily,69,0,4528,0,866,0,0,0,0,0,0,0,0,88,2010,,1542
IT-S,IT-South,803,0,10162,1815,66,0,0,0,41,0,0,141,0,777,7106,,4833
LV,Latvia,149,0,1021,0,0,0,0,0,0,0,0,0,0,1578,77,,7
LT,Lithuania,99,0,1887,0,0,0,0,0,37,48,0,0,0,128,671,,251
NL,Netherlands,560,0,18500,4012,0,0,0,485,1,780,0,0,0,38,5186,2460,14823
NO1,NO1,2,0,6,0,0,0,0,0,0,32,0,1430,0,2504,385,0,0
NO2,NO2,0,0,9,0,0,0,0,0,0,22,0,9815,0,1382,1444,0,0
NO3,NO3,0,0,180,0,0,0,0,0,31,4,22,3442,0,1409,2126,0,0
NO4,NO4,0,0,252,0,0,0,0,0,0,0,77,4889,0,584,1151,0,0
NO5,NO5,0,0,192,0,0,0,0,0,0,32,0,7107,0,798,0,0,0
PL,Poland,880,7597,2827,20925,359,0,0,0,0,0,0,157,0,447,6967,,7091
RO,Romania,117,2483,2184,986,0,0,0,1300,0,0,0,3388,0,2746,3015,,1394
SE1,SE1,0,0,1,0,0,0,0,0,273,0,0,5170,0,150,1652,0,9
SE2,SE2,0,0,2,0,0,0,0,0,682,0,0,7409,0,667,3876,0,67
SE3,SE3 ,0,0,962,0,0,0,0,6871,2807,0,0,800,0,1793,2891,0,774
SE4,SE4,0,0,618,0,0,0,0,0,1545,0,0,0,0,345,1598,0,240
RS,Serbia,2,4470,297,0,0,0,0,0,25,0,0,472,0,2037,398,,12
SK,Slovakia,234,276,1183,1,259,0,0,2003,627,0,115,418,0,1212,4,,537
SI,Slovenia,16,981,548,0,0,0,0,696,0,4,0,0,0,1125,3,,461
CH,Switzerland,0,0,0,0,0,0,0,2970,0,0,0,8220,0,4180,88,,3515
