bidding_zone,Country,Tech,Cap_MW_2021,CapacityFactor,ACM_MW_2021
AT,AT,Biomass,497.0,0.4989440981872201,248.0
AT,AT,Gas,4449.0,0.2599880473579576,1157.0
AT,AT,Geothermal,1.0,0.0183,0.0
AT,AT,Hydro Run-of-river and poundage,5941.0,0.5658111246344149,3361.0
AT,AT,Hydro Water Reservoir,2430.0,0.2238659062306044,544.0
AT,AT,Oil,164.0,0.0,0.0
AT,AT,Other,957.0,0.9649122807017544,923.0
AT,AT,Solar,2763.0,0.114668,317.0
AT,AT,Waste,103.0,0.6666666666666666,69.0
AT,AT,Wind Onshore,3422.0,0.24124,826.0
BE,BE,Biomass,672.0,0.4382892473772404,295.0
BE,BE,Gas,7282.0,0.5012609967047585,3650.0
BE,BE,Hydro Run-of-river and poundage,176.0,0.1030812189231537,18.0
BE,BE,Nuclear,5943.0,0.7956418932676254,4728.0
BE,BE,Oil,275.0,0.0010193022465949,0.0
BE,BE,Other,19.0,0.0,0.0
BE,BE,Solar,5934.0,0.10796,641.0
BE,BE,Waste,362.0,0.6332656484172094,229.0
BE,BE,Wind Offshore,2262.0,0.350161,792.0
BE,BE,Wind Onshore,2687.0,0.236671,636.0
BG,BG,Biomass,75.0,0.3599160804640257,27.0
BG,BG,Fossil Brown coal/Lignite,4119.0,0.5101867279485534,2101.0
BG,BG,Fossil Hard coal,356.0,0.1682234749371504,60.0
BG,BG,Gas,1266.0,0.2035433530510585,258.0
BG,BG,Hydro Run-of-river and poundage,539.0,0.2320920809843286,125.0
BG,BG,Hydro Water Reservoir,1810.0,0.1137003330053735,206.0
BG,BG,Nuclear,2000.0,0.9451090753424658,1890.0
BG,BG,Solar,1275.0,0.147785,188.0
BG,BG,Waste,6.0,0.5819444444444445,3.0
BG,BG,Wind Onshore,704.0,0.229438,162.0
CH,CH,Hydro Run-of-river and poundage,4180.0,0.49,2048.0
CH,CH,Hydro Water Reservoir,8220.0,0.27,2219.0
CH,CH,Nuclear,2970.0,0.8706059535364775,2586.0
CH,CH,Solar,3515.0,0.100359,353.0
