label,area_type,price_source,entsoe_domain,ember_country,components,baseline_years
AT,bz,entsoe,AT,,,"2019"
BE,country,ember,BE,Belgium,,
BG,country,ember,BG,Bulgaria,,
HR,country,ember,HR,Croatia,,
CZ,country,ember,CZ,Czechia,,
DK1,bz,entsoe,DK_1,,,
DK2,bz,entsoe,DK_2,,,
EE,country,ember,EE,Estonia,,
FI,country,ember,FI,Finland,,
FR,country,ember,FR,France,,
DE-LU,bz,entsoe,DE_LU,,,"2019"
GR,country,ember,GR,Greece,,
HU,country,ember,HU,Hungary,,
IE,bz,entsoe,IE_SEM,,,"2019"
IT-CN,bz,entsoe,IT_CNOR,,,
IT-CS,bz,entsoe,IT_CSUD,,,
IT-N,bz,entsoe,IT_NORD,,,
IT-Sar,bz,entsoe,IT_SARD,,,
IT-Sic,bz,entsoe,IT_SICI,,,
IT-S,bz,entsoe,IT_SUD,,,
IT-CALA,bz,entsoe,IT_CALA,,,2022
IT-S-legacy,synthetic,synthetic,,,IT-S|IT-CALA,2022
LV,country,ember,LV,Latvia,,
LT,country,ember,LT,Lithuania,,
NL,country,ember,NL,Netherlands,,
NO1,bz,entsoe,NO_1,,,
NO2,bz,entsoe,NO_2,,,
NO3,bz,entsoe,NO_3,,,
NO4,bz,entsoe,NO_4,,,
NO5,bz,entsoe,NO_5,,,
PL,country,ember,PL,Poland,,
RO,country,ember,RO,Romania,,
SE1,bz,entsoe,SE_1,,,
SE2,bz,entsoe,SE_2,,,
SE3,bz,entsoe,SE_3,,,
SE4,bz,entsoe,SE_4,,,
RS,country,ember,RS,Serbia,,
SK,country,ember,SK,Slovakia,,
SI,country,ember,SI,Slovenia,,
CH,country,ember,CH,Switzerland,,
