Country,Tech,CapacityFactor,Source
AT,Biomass,0.4989440981872201,ENTSOE
AT,Fossil Hard coal,0.2387224920205861,ENTSOE
AT,Gas,0.2599880473579576,ENTSOE
AT,Geothermal,0.0183,IRENA
AT,Hydro Run-of-river and poundage,0.5658111246344149,ENTSOE
AT,Hydro Water Reservoir,0.2238659062306044,ENTSOE
AT,Oil,0.0,ENTSOE
AT,Other,0.9649122807017544,ENTSOE
AT,Other renewable,0.0,ENTSOE
AT,Solar,0.114668,IRENA
AT,Waste,0.6666666666666666,ENTSOE
AT,Wind Onshore,0.24124,IRENA
BE,Biomass,0.4382892473772404,ENTSOE
BE,Gas,0.5012609967047585,ENTSOE
BE,Hydro Run-of-river and poundage,0.1030812189231537,ENTSOE
BE,Nuclear,0.7956418932676254,ENTSOE
BE,Oil,0.0010193022465949,ENTSOE
BE,Other,0.0,ENTSOE
BE,Solar,0.10796,IRENA
BE,Waste,0.6332656484172094,ENTSOE
BE,Wind Offshore,0.350161,IRENA
BE,Wind Onshore,0.236671,IRENA
BG,Biomass,0.3599160804640257,ENTSOE
BG,Fossil Brown coal/Lignite,0.5101867279485534,ENTSOE
BG,Fossil Hard coal,0.1682234749371504,ENTSOE
BG,Gas,0.2035433530510585,ENTSOE
BG,Hydro Run-of-river and poundage,0.2320920809843286,ENTSOE
BG,Hydro Water Reservoir,0.1137003330053735,ENTSOE
BG,Nuclear,0.9451090753424658,ENTSOE
BG,Solar,0.147785,IRENA
BG,Waste,0.5819444444444445,ENTSOE
BG,Wind Onshore,0.229438,IRENA
CH,Hydro Run-of-river and poundage,0.49,energy-charts (CH)
CH,Hydro Water Reservoir,0.27,energy-charts (CH)
CH,Nuclear,0.8706059535364775,ENTSOE
CH,Solar,0.100359,IRENA
CH,Wind Onshore,0.197075,IRENA
CZ,Biomass,0.5582611301369863,ENTSOE
CZ,Fossil Brown coal/Lignite,0.4292280132933452,ENTSOE
CZ,Fossil Hard coal,0.1904654680365296,ENTSOE
CZ,Gas,0.48879188772696,ENTSOE
CZ,Hydro Run-of-river and poundage,0.2893975747135865,ENTSOE
CZ,Hydro Water Reservoir,0.1639718144166105,ENTSOE
CZ,Nuclear,0.8075532630317827,ENTSOE
CZ,Oil,0.2,ENTSOE
CZ,Other,0.2,ENTSOE
CZ,Other renewable,0.6742314497716895,ENTSOE
CZ,Solar,0.124027,IRENA
CZ,Waste,0.2127180365296803,ENTSOE
CZ,Wind Onshore,0.222451,IRENA
DE,Biomass,0.5839463435257832,ENTSOE
DE,Fossil Brown coal/Lignite,0.5530306133105938,ENTSOE
DE,Fossil Hard coal,0.2158051472360374,ENTSOE
DE,Gas,0.2048359227366803,ENTSOE
DE,Geothermal,0.599167,IRENA
DE,Hydro Run-of-river and poundage,0.4183232838008249,ENTSOE
DE,Hydro Water Reservoir,0.1731480113416496,ENTSOE
DE,Nuclear,0.8522310777714438,ENTSOE
DE,Oil,0.1040866846128365,ENTSOE
DE,Other,0.3076408222875418,ENTSOE
DE,Other renewable,0.3518510359090275,ENTSOE
DE,Solar,0.107106,IRENA
DE,Waste,0.4089033648038913,ENTSOE
DE,Wind Offshore,0.370956,IRENA
DE,Wind Onshore,0.203518,IRENA
DK,Biomass,0.2456986937775444,ENTSOE
DK,Fossil Hard coal,0.1191314334102694,ENTSOE
DK,Gas,0.1647565485090594,ENTSOE
DK,Hydro Run-of-river and poundage,0.0,ENTSOE
DK,Oil,0.0301504763459436,ENTSOE
DK,Other renewable,0.0,ENTSOE
DK,Solar,0.09824,IRENA
DK,Waste,0.3906059741248097,ENTSOE
DK,Wind Offshore,0.397587,IRENA
DK,Wind Onshore,0.240527,IRENA
EE,Biomass,0.4146232005298197,ENTSOE
EE,Fossil Peat,0.2,ENTSOE
EE,Gas,0.3231525935535128,ENTSOE
