bidding_zone,Tech,Gen_MWh,Cap_MW,CapacityFactor,GhostGen
AT,Biomass,2184501.0,499.8,0.4989440981872201,False
AT,Fossil Brown coal/Lignite,0.0,0.0,,False
AT,Fossil Hard coal,1250543.0,598.0,0.23872249202058612,False
AT,Fossil Peat,0.0,0.0,,False
AT,Gas,10164917.0,4463.2,0.25998804735795766,False
AT,Hydro Run-of-river and poundage,27547266.0,5557.8,0.5658111246344149,False
AT,Hydro Water Reservoir,4784215.0,2439.6,0.22386590623060446,False
AT,Nuclear,0.0,0.0,,False
AT,Oil,0.0,177.9,0.0,False
AT,Other,192720.0,22.8,0.9649122807017544,False
AT,Other renewable,0.0,42.3,0.0,False
AT,Waste,876000.0,150.0,0.6666666666666666,False
BE,Biomass,2377557.0,619.25,0.43828924737724045,False
BE,Fossil Brown coal/Lignite,0.0,,,False
BE,Fossil Hard coal,0.0,,,False
BE,Fossil Peat,0.0,,,False
BE,Gas,29165198.0,6641.97,0.5012609967047585,False
BE,Hydro Run-of-river and poundage,155757.0,172.49,0.10308121892315376,False
BE,Hydro Water Reservoir,0.0,,,False
BE,Nuclear,41421658.0,5943.0,0.7956418932676254,False
BE,Oil,2162.0,242.13,0.0010193022465949553,False
BE,Other,0.0,18.5,0.0,False
BE,Other renewable,0.0,,,False
BE,Waste,2008938.0,362.14,0.6332656484172094,False
BG,Biomass,233312.0,74.0,0.3599160804640257,False
BG,Fossil Brown coal/Lignite,18408782.0,4119.0,0.5101867279485534,False
BG,Fossil Hard coal,524615.0,356.0,0.16822347493715048,False
BG,Fossil Peat,0.0,,,False
BG,Gas,2196705.0,1232.0,0.20354335305105853,False
BG,Hydro Run-of-river and poundage,1091789.0,537.0,0.23209208098432862,False
BG,Hydro Water Reservoir,1802787.0,1810.0,0.1137003330053735,False
BG,Nuclear,16558311.0,2000.0,0.9451090753424658,False
BG,Oil,0.0,,,False
BG,Other,0.0,,,False
BG,Other renewable,0.0,,,False
BG,Waste,30587.0,6.0,0.5819444444444445,False
CH,Biomass,0.0,,,False
CH,Fossil Brown coal/Lignite,0.0,,,False
CH,Fossil Hard coal,0.0,,,False
CH,Fossil Peat,0.0,,,False
CH,Gas,0.0,,,False
CH,Hydro Run-of-river and poundage,1946610.0,634.5,0.3502218336086013,False
CH,Hydro Water Reservoir,11861328.0,5418.8,0.24987688726513782,False
CH,Nuclear,25724212.0,3373.0,0.8706059535364775,False
CH,Oil,0.0,,,False
CH,Other,0.0,,,False
CH,Other renewable,0.0,,,False
CH,Waste,0.0,,,False
CZ,Biomass,1956147.0,400.0,0.5582611301369863,False
CZ,Fossil Brown coal/Lignite,31772316.0,8450.0,0.4292280132933452,False
CZ,Fossil Hard coal,2002173.0,1200.0,0.19046546803652967,False
CZ,Fossil Peat,0.0,,,False
CZ,Gas,6876598.0,1606.0,0.48879188772696,False
CZ,Hydro Run-of-river and poundage,846731.0,334.0,0.2893975747135865,False
CZ,Hydro Water Reservoir,1081604.0,753.0,0.16397181441661057,False
CZ,Nuclear,28579633.0,4040.0,0.8075532630317827,False
CZ,Oil,52332.0,0.0,0.2,True
CZ,Other,983921.0,0.0,0.2,True
CZ,Other renewable,2362507.0,400.0,0.6742314497716895,False
CZ,Waste,186341.0,100.0,0.21271803652968035,False
DE,Biomass,39655013.0,7752.13,0.5839463435257832,False
DE,Fossil Brown coal/Lignite,102728644.0,21205.0,0.5530306133105938,False
DE,Fossil Hard coal,47815230.0,25293.0,0.21580514723603747,False
DE,Fossil Peat,0.0,,,False
DE,Gas,56816700.0,31664.0,0.20483592273668036,False
DE,Hydro Run-of-river and poundage,14595458.0,3982.92,0.4183232838008249,False
DE,Hydro Water Reservoir,1968776.0,1298.0,0.17314801134164962,False
DE,Nuclear,71042119.0,9516.0,0.8522310777714438,False
DE,Oil,3971798.0,4356.0,0.10408668461283654,False
DE,Other,3328243.0,1235.0,0.3076408222875418,False
DE,Other renewable,1370322.0,444.59,0.3518510359090275,False
DE,Waste,6039241.0,1686.0,0.4089033648038913,False
DK,Biomass,3706296.0,1722.0,0.24569869377754444,False
DK,Fossil Brown coal/Lignite,0.0,,,False
DK,Fossil Hard coal,3815370.0,3656.0,0.11913143341026948,False
DK,Fossil Peat,0.0,,,False
DK,Gas,2618087.0,1814.0,0.1647565485090594,False
DK,Hydro Run-of-river and poundage,0.0,7.0,0.0,False
DK,Hydro Water Reservoir,0.0,,,False
DK,Nuclear,0.0,,,False
DK,Oil,265967.0,1007.0,0.03015047634594369,False
DK,Other,0.0,,,False
DK,Other renewable,0.0,135.0,0.0,False
DK,Waste,1313936.0,384.0,0.39060597412480974,False
EE,Biomass,570966.0,157.2,0.41462320052981977,False
EE,Fossil Brown coal/Lignite,0.0,0.0,,False
EE,Fossil Hard coal,0.0,0.0,,False
EE,Fossil Peat,35993.0,0.0,0.2,True
EE,Gas,499809.0,176.56,0.3231525935535128,False
EE,Hydro Run-of-river and poundage,21927.0,7.13,0.3510634210071279,False
EE,Hydro Water Reservoir,0.0,0.0,,False
EE,Nuclear,0.0,0.0,,False
EE,Oil,4013425.0,1978.1699999999998,0.23160473508989896,False
EE,Other,0.0,0.0,,False
EE,Other renewable,50630.0,11.83,0.48856131574782785,False
EE,Waste,117334.0,18.54,0.7224537344899096,False
FI,Biomass,5947958.0,1804.0,0.3763806204375867,False
FI,Fossil Brown coal/Lignite,0.0,,,False
FI,Fossil Hard coal,4667420.0,2278.0,0.233893986954831,False
