bidding_zone,Oil,Gas,Fossil Hard coal,Fossil Peat,Hydro Run-of-river and poundage,Other,Biomass,Fossil Brown coal/Lignite,Hydro Water Reservoir,Nuclear,Other renewable,Waste
IE_SEM,2143254,10445420,790423,2113230,833323,11160,0,0,0,0,0,0
DE_LU,3971798,56816700,47815230,0,14595458,3328243,39655013,102728644,1968776,71042119,1370322,6039241
NO,0,2961575,0,0,10406363,190822,0,0,114591076,0,0,0
SE,0,0,0,0,0,8994631,0,0,65526542,64415218,0,0
AT,0,10164917,1250543,0,27547266,192720,2184501,0,4784215,0,0,876000
BE,2162,23471006,0,0,155757,5694192,2377557,0,0,41421658,0,2008938
BG,0,2196705,524615,0,1091789,0,233312,18408782,1802787,16558311,0,30587
HR,46676,2171083,1490973,0,1634162,0,421329,0,3645702,0,377011,3239
CZ,52332,6876598,2002173,0,846731,983921,1956147,31772316,1081604,28579633,2362507,186341
DK,265967,2618087,3815370,0,0,0,3706296,0,0,0,0,1313936
EE,4013425,499809,0,35993,21927,0,570966,0,0,0,50630,117334
FI,13185,4490846,4667420,3718395,11443972,842800,5947958,0,0,22897213,204341,250880
FR,1636137,37861841,1596953,0,40369534,0,3075844,0,13794187,377995474,0,1746489
GR,0,17304453,0,0,0,0,0,10679317,2926012,0,0,0
HU,5581,7547315,0,0,94131,708286,977652,4038185,105365,15358885,106431,132751
IT,957000,119044596,17061392,0,34459699,25344085,5116409,0,8092235,0,0,337523
LV,0,2762673,0,0,2043595,619289,594555,0,0,0,0,0
LT,0,401625,0,0,362943,157189,408648,0,0,0,0,147030
NL,0,44979579,16452047,0,0,35113645,22433,0,0,3701308,0,2224916
PL,1621450,11129322,76224510,0,1405622,0,2065831,37770820,125137,0,0,0
RO,0,9319500,1146060,0,10337856,0,432080,12711367,5368766,11282957,0,0
RS,0,17222,0,0,8855914,478335,120779,23176084,635173,0,0,0
SK,527693,2696974,377776,0,3984447,1248888,821784,1260549,322125,15346593,544155,0
SI,175,356543,0,0,4321950,0,89436,4006954,0,5512473,0,73399
CH,0,0,0,0,1946610,0,0,0,11861328,25724212,0,0
