zone,PEI_17,PEI_18,PEI_19,PEI_avg,n_years
DK1,0.039,0.012,0.017,0.023,3
DK2,-0.313,-0.326,-0.397,-0.345,3
NO1,-0.498,-0.547,-0.502,-0.516,3
NO2,0.294,0.296,0.158,0.249,3
NO3,-0.143,-0.296,-0.197,-0.212,3
NO4,0.283,0.244,0.235,0.254,3
NO5,0.483,0.493,0.4,0.459,3
SE1,0.564,0.547,0.537,0.549,3
SE2,0.625,0.615,0.638,0.626,3
SE3,0.017,0.04,0.071,0.042,3
SE4,-0.651,-0.684,-0.642,-0.659,3
IT-CN,-0.371,-0.41,-0.369,-0.384,3
IT-CS,-0.284,-0.304,-0.337,-0.308,3
IT-N,-0.232,-0.226,-0.214,-0.224,3
IT-Sar,0.289,0.275,0.316,0.293,3
IT-Sic,-0.116,-0.175,-0.157,-0.149,3
IT-S,0.378,0.3,0.5,0.393,3
CH,-0.105,0.005,0.023,-0.026,3
