label,delta_price_2022,delta_price_2023,delta_p95_2022,delta_p95_2023,delta_cv_2022,delta_cv_2023
AT,225.93,65.33,446.37,99.06,0.24004,0.09224
BE,199.97,52.83,371.71,79.07,0.12912,0.01416
BG,211.68,65.09,364.69,91.64,0.08032,-0.02697
HR,231.02,55.12,422.41,83.96,0.17404,0.03673
CZ,206.72,62.45,401.44,88.31,0.19727,0.02486
DK1,179.31,49.16,391.45,93.14,0.34348,0.17889
DK2,171.06,43.41,389.3,87.62,0.39556,0.23368
EE,155.12,52.13,340.59,95.42,0.32899,0.22613
FI,113.71,18.12,321.47,76.53,0.48889,0.60417
FR,230.59,54.99,458.07,90.21,0.14653,0.05765
DE-LU,198.43,59.25,401.74,96.49,0.23435,0.06745
GR,227.26,60.45,371.56,110.02,0.16344,0.12844
HU,224.96,59.29,428.28,85.31,0.15591,0.01314
IE,179.46,76.83,323.79,103.78,0.127,-0.0443
IT-CN,263.18,74.19,473.95,99.94,0.20683,0.00329
IT-CS,253.38,72.88,453.51,100.89,0.21705,0.01808
IT-N,260.47,74.01,473.75,99.74,0.19162,-0.00752
IT-Sar,243.87,69.97,429.6,100.58,0.19108,0.04192
IT-Sic,242.67,60.9,436.94,82.83,0.17871,-0.02718
IT-S-legacy,253.58,71.64,458.39,104.62,0.22598,0.02644
LV,185.8,53.81,397.65,93.47,0.35232,0.20248
LT,190.65,54.37,404.21,93.87,0.35655,0.20209
NL,202.66,52.73,376.31,84.71,0.26766,0.158
NO1,151.03,38.58,361.87,85.17,0.36286,0.44735
NO2,165.42,41.82,385.11,81.39,0.42456,0.26311
NO3,7.54,4.18,131.82,49.02,1.31595,0.61718
NO4,-9.42,-3.93,35.61,31.78,1.27163,0.63077
NO5,151.98,35.46,363.12,81.82,0.36651,0.43985
PL,121.45,66.36,218.99,91.24,0.18176,0.08699
RO,221.27,58.17,433.96,82.19,0.12329,-0.01858
SE1,23.78,4.09,184.33,52.62,1.03869,0.58399
SE2,29.67,6.3,186.02,52.62,0.9902,0.58388
SE3,97.87,19.0,316.83,70.74,0.59086,0.52674
SE4,117.56,30.05,338.33,78.36,0.55042,0.41423
RS,222.08,54.57,439.4,80.3,0.13622,-0.00487
SK,221.71,63.4,436.28,91.96,0.16008,0.00398
SI,228.47,58.77,424.98,85.72,0.15842,0.03398
CH,232.42,62.09,444.09,91.76,0.1239,0.01762
