bidding_zone,PEI,SWI,share_hydro_reservoir,share_vre,share_gas,stirling_index_2021,IC_95
AT,0.03,1.63,0.073,0.605,0.155,0.483,1.1697
BE,-0.029,1.44,0.0,0.19,0.332,0.454,0.6582
BG,0.244,1.43,0.041,0.095,0.051,0.257,0.5128
HR,-0.301,1.93,0.295,0.317,0.175,0.557,1.738
CZ,0.251,1.53,0.014,0.051,0.091,0.268,0.9951
DK1,0.023,1.62,0.0,0.704,0.076,0.321,1.5993
DK2,-0.345,1.79,0.0,0.505,0.078,0.4,1.3433
EE,0.164,1.4,0.0,0.209,0.091,0.589,3.0271
FI,-0.199,1.85,0.0,0.328,0.069,0.306,0.5461
FR,0.149,1.06,0.022,0.173,0.076,0.215,0.3003
DE-LU,0.129,2.2,0.004,0.375,0.111,0.397,0.3628
GR,-0.068,1.64,0.06,0.331,0.357,0.545,0.1565
HU,-0.251,1.45,0.003,0.13,0.233,0.388,0.9848
IE,0.044,1.39,0.0,0.425,0.386,0.586,0.1502
IT-CN,-0.384,1.49,0.015,0.202,0.395,0.504,1.7956
IT-CS,-0.308,1.52,0.005,0.247,0.498,0.455,1.2209
IT-N,-0.224,1.34,0.034,0.26,0.585,0.458,0.5608
IT-Sar,0.293,1.73,0.014,0.332,0.248,0.469,1.0699
IT-Sic,-0.149,1.03,0.0,0.295,0.664,0.475,0.4708
IT-S,0.393,1.48,0.005,0.352,0.485,0.512,2.0557
LV,-0.022,1.13,0.0,0.366,0.46,0.482,2.8479
LT,-0.679,1.53,0.0,0.635,0.131,0.383,1.3273
NL,-0.004,1.39,0.0,0.215,0.531,0.442,0.4835
NO1,-0.516,0.94,0.537,0.456,0.002,0.463,1.8499
NO2,0.249,0.46,0.88,0.118,0.001,0.202,1.4012
NO3,-0.212,1.0,0.644,0.316,0.036,0.45,0.7904
NO4,0.254,0.69,0.81,0.14,0.045,0.278,0.9187
NO5,0.459,0.31,0.929,0.042,0.027,0.1,2.1332
PL,0.053,1.41,0.001,0.152,0.09,0.302,0.2798
RO,0.103,1.94,0.1,0.349,0.124,0.427,0.2474
SE1,0.549,0.63,0.802,0.178,0.0,0.312,3.609
SE2,0.626,0.88,0.689,0.281,0.0,0.425,5.616
SE3,0.042,1.16,0.042,0.194,0.024,0.236,1.4487
SE4,-0.659,1.35,0.0,0.568,0.123,0.479,2.6787
RS,0.094,0.9,0.029,0.335,0.001,0.207,0.6749
SK,-0.011,1.53,0.011,0.162,0.097,0.327,1.5208
SI,0.101,1.33,0.0,0.332,0.026,0.196,2.028
CH,-0.026,1.25,0.307,0.335,0.0,0.405,1.5254
