bidding_zone,SWI,share_hydro_reservoir,share_vre,share_gas
AT,1.63,0.073,0.605,0.155
BE,1.44,0,0.19,0.332
BG,1.43,0.041,0.095,0.051
HR,1.93,0.295,0.317,0.175
CZ,1.53,0.014,0.051,0.091
DK1,1.62,0,0.704,0.076
DK2,1.79,0,0.505,0.078
EE,1.40,0,0.209,0.091
FI,1.85,0,0.328,0.069
FR,1.06,0.022,0.173,0.076
DE-LU,2.20,0.004,0.375,0.111
GR,1.64,0.06,0.331,0.357
HU,1.45,0.003,0.13,0.233
IE,1.39,0,0.425,0.386
IT-CN,1.49,0.015,0.202,0.395
IT-CS,1.52,0.005,0.247,0.498
IT-N,1.34,0.034,0.26,0.585
IT-Sar,1.73,0.014,0.332,0.248
IT-Sic,1.03,0,0.295,0.664
IT-S,1.48,0.005,0.352,0.485
LV,1.13,0,0.366,0.46
LT,1.53,0,0.635,0.131
NL,1.39,0,0.215,0.531
NO1,0.94,0.537,0.456,0.002
NO2,0.46,0.88,0.118,0.001
NO3,1.00,0.644,0.316,0.036
NO4,0.69,0.81,0.14,0.045
NO5,0.31,0.929,0.042,0.027
PL,1.41,0.001,0.152,0.09
RO,1.94,0.1,0.349,0.124
SE1,0.63,0.802,0.178,0
SE2,0.88,0.689,0.281,0
SE3,1.16,0.042,0.194,0.024
SE4,1.35,0,0.568,0.123
RS,0.90,0.029,0.335,0.001
SK,1.53,0.011,0.162,0.097
SI,1.33,0,0.332,0.026
CH,1.25,0.307,0.335,0
