MeasureItem	MeasureItemCategoryID	MeasureItemID	Category	Country	Year	Representativity	ProvidedValue	CreationDate	ProvidedValueCode
Net Generating Capacity	6	B01	Biomass	AL	2019	100	0.00	29-05-2024 00:00:00	
Net Generating Capacity	6	B11	Hydro Run-of-river and poundage	AL	2019	100	0.00	29-05-2024 00:00:00	
Net Generating Capacity	6	B12	Hydro Water Reservoir	AL	2019	100	1492.00	29-05-2024 00:00:00	
Net Generating Capacity	6	B01	Biomass	AT	2019	100	499.80	29-05-2024 00:00:00	
Net Generating Capacity	6	B02	Fossil Brown coal/Lignite	AT	2019	100	0.00	29-05-2024 00:00:00	
Net Generating Capacity	6	B03	Fossil Coal-derived gas	AT	2019	100	0.00	29-05-2024 00:00:00	
Net Generating Capacity	6	B04	Fossil Gas	AT	2019	100	4463.20	29-05-2024 00:00:00	
Net Generating Capacity	6	B05	Fossil Hard coal	AT	2019	100	598.00	29-05-2024 00:00:00	
Net Generating Capacity	6	B06	Fossil Oil	AT	2019	100	177.90	29-05-2024 00:00:00	
Net Generating Capacity	6	B07	Fossil Oil shale	AT	2019	100	0.00	29-05-2024 00:00:00	
Net Generating Capacity	6	B08	Fossil Peat	AT	2019	100	0.00	29-05-2024 00:00:00	
Net Generating Capacity	6	B09	Geothermal	AT	2019	100	0.90	29-05-2024 00:00:00	
Net Generating Capacity	6	B10	Hydro Pumped Storage	AT	2019	100	3120.10	29-05-2024 00:00:00	
Net Generating Capacity	6	B11	Hydro Run-of-river and poundage	AT	2019	100	5557.80	29-05-2024 00:00:00	
Net Generating Capacity	6	B12	Hydro Water Reservoir	AT	2019	100	2439.60	29-05-2024 00:00:00	
Net Generating Capacity	6	B13	Marine	AT	2019	100	0.00	29-05-2024 00:00:00	
Net Generating Capacity	6	B14	Nuclear	AT	2019	100	0.00	29-05-2024 00:00:00	
Net Generating Capacity	6	B20	Other	AT	2019	100	22.80	29-05-2024 00:00:00	
Net Generating Capacity	6	B15	Other renewable	AT	2019	100	42.30	29-05-2024 00:00:00	
Net Generating Capacity	6	B16	Solar	AT	2019	100	1192.70	29-05-2024 00:00:00	
Net Generating Capacity	6	B17	Waste	AT	2019	100	150.00	29-05-2024 00:00:00	
