"Country/area","Technology","Data Type","Grid connection","Year",Electricity statistics
"Austria","Solar photovoltaic","Electricity Installed Capacity (MW)","On-grid","2017",1264.97
"Austria","Solar photovoltaic","Electricity Installed Capacity (MW)","On-grid","2018",1450.13
"Austria","Solar photovoltaic","Electricity Installed Capacity (MW)","On-grid","2019",1695.09
"Austria","Solar photovoltaic","Electricity Installed Capacity (MW)","On-grid","2020",2028.93
"Austria","Solar photovoltaic","Electricity Installed Capacity (MW)","On-grid","2021",2762.61
"Austria","Solar photovoltaic","Electricity Generation (GWh)","On-grid","2017",1268.97
"Austria","Solar photovoltaic","Electricity Generation (GWh)","On-grid","2018",1455.13
"Austria","Solar photovoltaic","Electricity Generation (GWh)","On-grid","2019",1702.09
"Austria","Solar photovoltaic","Electricity Generation (GWh)","On-grid","2020",2042.93
"Austria","Solar photovoltaic","Electricity Generation (GWh)","On-grid","2021",2773.91
"Austria","Onshore wind energy","Electricity Installed Capacity (MW)","On-grid","2017",2886.70
"Austria","Onshore wind energy","Electricity Installed Capacity (MW)","On-grid","2018",3132.71
"Austria","Onshore wind energy","Electricity Installed Capacity (MW)","On-grid","2019",3224.12
"Austria","Onshore wind energy","Electricity Installed Capacity (MW)","On-grid","2020",3225.98
"Austria","Onshore wind energy","Electricity Installed Capacity (MW)","On-grid","2021",3422.34
"Austria","Onshore wind energy","Electricity Generation (GWh)","On-grid","2017",6571.51
"Austria","Onshore wind energy","Electricity Generation (GWh)","On-grid","2018",6030.43
"Austria","Onshore wind energy","Electricity Generation (GWh)","On-grid","2019",7450.08
"Austria","Onshore wind energy","Electricity Generation (GWh)","On-grid","2020",6791.53
"Austria","Onshore wind energy","Electricity Generation (GWh)","On-grid","2021",6740.04
"Austria","Offshore wind energy","Electricity Installed Capacity (MW)","On-grid","2017",-
"Austria","Offshore wind energy","Electricity Installed Capacity (MW)","On-grid","2018",-
"Austria","Offshore wind energy","Electricity Installed Capacity (MW)","On-grid","2019",-
"Austria","Offshore wind energy","Electricity Installed Capacity (MW)","On-grid","2020",-
"Austria","Offshore wind energy","Electricity Installed Capacity (MW)","On-grid","2021",-
"Austria","Offshore wind energy","Electricity Generation (GWh)","On-grid","2017",-
"Austria","Offshore wind energy","Electricity Generation (GWh)","On-grid","2018",-
"Austria","Offshore wind energy","Electricity Generation (GWh)","On-grid","2019",-
"Austria","Offshore wind energy","Electricity Generation (GWh)","On-grid","2020",-
"Austria","Offshore wind energy","Electricity Generation (GWh)","On-grid","2021",-
"Austria","Geothermal energy","Electricity Installed Capacity (MW)","On-grid","2017",0.92
"Austria","Geothermal energy","Electricity Installed Capacity (MW)","On-grid","2018",0.92
"Austria","Geothermal energy","Electricity Installed Capacity (MW)","On-grid","2019",0.92
"Austria","Geothermal energy","Electricity Installed Capacity (MW)","On-grid","2020",0.92
"Austria","Geothermal energy","Electricity Installed Capacity (MW)","On-grid","2021",0.25
"Austria","Geothermal energy","Electricity Generation (GWh)","On-grid","2017",0.09
"Austria","Geothermal energy","Electricity Generation (GWh)","On-grid","2018",0.24
"Austria","Geothermal energy","Electricity Generation (GWh)","On-grid","2019",0.20
"Austria","Geothermal energy","Electricity Generation (GWh)","On-grid","2020",0.07
"Austria","Geothermal energy","Electricity Generation (GWh)","On-grid","2021",0.03
"Belgium","Solar photovoltaic","Electricity Installed Capacity (MW)","On-grid","2017",3600.40
"Belgium","Solar photovoltaic","Electricity Installed Capacity (MW)","On-grid","2018",3962.80
"Belgium","Solar photovoltaic","Electricity Installed Capacity (MW)","On-grid","2019",4523.00
"Belgium","Solar photovoltaic","Electricity Installed Capacity (MW)","On-grid","2020",5453.00
"Belgium","Solar photovoltaic","Electricity Installed Capacity (MW)","On-grid","2021",5934.00
"Belgium","Solar photovoltaic","Electricity Generation (GWh)","On-grid","2017",3308.00
"Belgium","Solar photovoltaic","Electricity Generation (GWh)","On-grid","2018",3903.54
"Belgium","Solar photovoltaic","Electricity Generation (GWh)","On-grid","2019",4252.40
"Belgium","Solar photovoltaic","Electricity Generation (GWh)","On-grid","2020",5112.69
"Belgium","Solar photovoltaic","Electricity Generation (GWh)","On-grid","2021",5622.70
"Belgium","Onshore wind energy","Electricity Installed Capacity (MW)","On-grid","2017",1902.20
"Belgium","Onshore wind energy","Electricity Installed Capacity (MW)","On-grid","2018",2119.00
"Belgium","Onshore wind energy","Electricity Installed Capacity (MW)","On-grid","2019",2308.20
"Belgium","Onshore wind energy","Electricity Installed Capacity (MW)","On-grid","2020",2411.00
"Belgium","Onshore wind energy","Electricity Installed Capacity (MW)","On-grid","2021",2686.60
"Belgium","Onshore wind energy","Electricity Generation (GWh)","On-grid","2017",3650.30
"Belgium","Onshore wind energy","Electricity Generation (GWh)","On-grid","2018",4163.00
